TIME,MESSAGE,ALERT
2023-10-22 00:36:15,LOG FILE INTIALIZED,INIT
2023-10-22 00:36:15,HAP-PY started
2023-10-22 00:37:05,{APPNAME} {VERSION} started
2023-10-22 00:37:11,HAP-PY 0.0.1 started
2023-10-22 00:37:21,HAP-PY v0.0.1 started
