TIME,TYPE,MESSAGE
LOG FILE INTIALIZED
15:11:51,FILE,Populating C:/Users/TedCh/OneDrive/Desktop/test/sub\sub sub\TCBLogo_White - Copy.png to the file tree
15:11:51,FILE,Populating C:/Users/TedCh/OneDrive/Desktop/test/sub\TCBLogo_White.png to the file tree
15:11:53,ENCODE,Total number of files to encode: 2
15:12:44,INIT,HAP-PY v0.0.1 started
15:12:54,FILE,Populating C:/Users/TedCh/OneDrive/Desktop/test/sub\sub sub\TCBLogo_White - Copy.png to the file tree
15:12:54,FILE,Populating C:/Users/TedCh/OneDrive/Desktop/test/sub\TCBLogo_White.png to the file tree
15:12:55,ENCODE,Total number of files to encode: 2
15:13:21,ENCODE,Total number of files to encode: 2
15:14:02,ENCODE,Total number of files to encode: 2
15:25:27,INIT,HAP-PY v0.0.1 started
15:31:39,INIT,HAP-PY v0.0.1 started
15:31:48,INIT,HAP-PY v0.0.1 started
15:31:51,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/TCBLogo_White.png to the file tree
15:31:52,ENCODE,Total number of files to encode: 1
15:31:59,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/TCBLogo_White.png to the file tree
15:32:03,ENCODE,Total number of files to encode: 2
15:32:07,ENCODE,Total number of files to encode: 2
15:32:15,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the file tree
15:32:16,ENCODE,Total number of files to encode: 3
15:32:22,ENCODE,Total number of files to encode: 3
15:32:23,ENCODE,Total number of files to encode: 3
15:32:24,ENCODE,Total number of files to encode: 3
15:32:24,ENCODE,Total number of files to encode: 3
15:32:25,ENCODE,Total number of files to encode: 3
15:32:26,ENCODE,Total number of files to encode: 3
15:32:27,ENCODE,Total number of files to encode: 3
15:54:17,INIT,HAP-PY v0.0.1 started
15:54:25,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the file tree
15:54:26,ENCODE,Total number of files to encode: 1
15:54:30,ENCODE,Total number of files to encode: 1
15:54:34,ENCODE,Total number of files to encode: 1
15:54:37,ENCODE,Total number of files to encode: 1
15:54:41,ENCODE,Total number of files to encode: 1
15:55:52,INIT,HAP-PY v0.0.1 started
15:56:00,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the file tree
15:56:01,ENCODE,Total number of files to encode: 1
15:57:48,INIT,HAP-PY v0.0.1 started
15:57:50,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the file tree
15:57:51,ENCODE,Total number of files to encode: 1
15:57:51,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the encoder
15:57:52,ENCODE,Encoding progress: 25%
15:57:52,ENCODE,Encoding complete!
15:58:40,INIT,HAP-PY v0.0.1 started
15:58:41,FILE,Displaying C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the file tree
15:58:42,ENCODE,Total number of files to encode: 1
15:58:42,ENCODE,Sending C:/Users/TedCh/OneDrive/Desktop/HAPPY TEST/Second/sub/sub sub/TCBLogo_White - Copy.png to the encoder
15:58:42,ENCODE,Encoding progress: 25%
